Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-2.526962","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","-5.299079","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","Millions d’USD","18904.49026","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","500.522664","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","2.636658","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-0.305564","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","Millions d’USD","4777.856295","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","%","25.532218","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","%","-11.065911","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","Millions d’USD","4638.290864","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","%","25.740314","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","%","-2.921089","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","Millions d’USD","4992.453824","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","26.420199","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","7.635635","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","Millions d’USD","4060.047714","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","%","22.042897","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","%","-18.676309","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","Millions d’USD","4872.437789","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","%","25.773971","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","%","20.009373","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2015","2015","Millions d’USD","18882.21978","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2015","2015","US$","559.415182","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22011","Revenu national brut","2015","2015","%","100.904029","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2015","2015","%","-3.408049","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2015","2015","%","-6.376445","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2016","2016","Millions d’USD","18199.12623","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2016","2016","US$","525.436467","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22011","Revenu national brut","2016","2016","%","100.996517","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2016","2016","%","-3.617655","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2016","2016","%","-6.073971","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2017","2017","Millions d’USD","19145.01702","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2017","2017","US$","537.126294","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22011","Revenu national brut","2017","2017","%","101.315942","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2017","2017","%","5.197452","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2017","2017","%","2.224784","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2018","2018","Millions d’USD","18610.25735","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2018","2018","US$","507.274155","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22011","Revenu national brut","2018","2018","%","101.039202","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","-2.793206","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2018","2018","%","-5.55775","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2019","2019","Millions d’USD","19205.01496","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22011","Revenu national brut","2019","2019","US$","508.479473","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22011","Revenu national brut","2019","2019","%","101.5897","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","3.195859","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2019","2019","%","0.237607","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2015","2015","Millions d’USD","346486.1248","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2015","2015","US$","6200.927044","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2015","2015","%","-9.037008","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2015","2015","%","-10.904167","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2016","2016","Millions d’USD","323567.6716","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","5734.750634","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2016","2016","%","-6.614537","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2016","2016","%","-7.51785","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","380851.4441","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","6723.928582","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","17.7038","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","17.24884","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","403945.6863","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","7044.789983","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","6.063845","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","4.771934","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","Millions d’USD","388531.2266","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6688.774747","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-3.815973","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-5.053596","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","Millions d’USD","7740.421272","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","%","2.233977","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","%","-4.405739","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","Millions d’USD","7811.559456","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","%","2.414197","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","%","0.919048","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","Millions d’USD","9497.680787","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.493802","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","21.584952","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","Millions d’USD","9153.767622","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","%","2.266089","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","%","-3.621023","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","Millions d’USD","7623.518792","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","%","1.962138","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","%","-16.717147","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22011","Revenu national brut","2015","2015","Millions d’USD","338548.1151","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22011","Revenu national brut","2015","2015","US$","6058.863581","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22011","Revenu national brut","2015","2015","%","97.708996","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22011","Revenu national brut","2015","2015","%","-8.860743","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2015","2015","%","-10.731519","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22011","Revenu national brut","2016","2016","Millions d’USD","315276.7287","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22011","Revenu national brut","2016","2016","US$","5587.806133","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22011","Revenu national brut","2016","2016","%","97.437648","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22011","Revenu national brut","2016","2016","%","-6.873879","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2016","2016","%","-7.774683","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22011","Revenu national brut","2017","2017","Millions d’USD","370292.1796","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22011","Revenu national brut","2017","2017","US$","6537.504869","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22011","Revenu national brut","2017","2017","%","97.227458","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22011","Revenu national brut","2017","2017","%","17.449893","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2017","2017","%","16.995914","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22011","Revenu national brut","2018","2018","Millions d’USD","392681.8648","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22011","Revenu national brut","2018","2018","US$","6848.349572","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22011","Revenu national brut","2018","2018","%","97.21155","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","6.046492","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2018","2018","%","4.754791","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22011","Revenu national brut","2019","2019","Millions d’USD","378832.4991","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22011","Revenu national brut","2019","2019","US$","6521.805919","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22011","Revenu national brut","2019","2019","%","97.503746","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","-3.526867","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2019","2019","%","-4.768209","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2015","2015","Millions d’USD","11386.92485","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2015","2015","US$","3950.390254","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2015","2015","%","-13.919578","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2015","2015","%","-13.87117","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2016","2016","Millions d’USD","11861.35645","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","4117.006969","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2016","2016","%","4.166459","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2016","2016","%","4.217728","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13019.72986","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4521.752219","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.765944","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.831056","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","15156.43997","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","5268.116609","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","16.411324","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","16.506088","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","Millions d’USD","15401.82608","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","5359.239078","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","1.619022","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","1.729697","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","Millions d’USD","2252.359355","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","%","19.780225","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2015","2015","%","-14.82356","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","Millions d’USD","2354.478397","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","%","19.849993","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2016","2016","%","4.53387","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","Millions d’USD","2476.629502","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","19.022127","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","5.188033","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","Millions d’USD","2793.252461","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","%","18.429476","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2018","2018","%","12.78443","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","Millions d’USD","2832.292984","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","%","18.389332","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2019","2019","%","1.397673","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22077","Valeur ajoutée (Fabrication de produits alimentaires et boissons)","2015","2015","Millions d’USD","109.466426","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22077","Valeur ajoutée (Fabrication de produits alimentaires et boissons)","2015","2015","%","11.472393","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22077","Valeur ajoutée (Fabrication de produits alimentaires et boissons)","2016","2016","Millions d’USD","121.9222","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22077","Valeur ajoutée (Fabrication de produits alimentaires et boissons)","2016","2016","%","11.378625","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22077","Valeur ajoutée (Fabrication de produits alimentaires et boissons)","2017","2017","Millions d’USD","130.719853","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22077","Valeur ajoutée (Fabrication de produits alimentaires et boissons)","2017","2017","%","7.215793","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22077","Valeur ajoutée (Fabrication de produits alimentaires et boissons)","2018","2018","Millions d’USD","158.584522","E","Valeur estimée",""
